study_id,outcome_family,synthesis_family,exposure_definition,comparator_definition,effect_measure,effect_estimate,lower_CI,upper_CI,standard_error,sample_size,direction,adjusted,evidence_status,provenance_note,included_in_pooled_estimate,exclusion_from_pooling_reason
S037,effective_access,A,"Household location inside an irrigation-district (ID) jurisdiction boundary within a Disadvantaged Community census place (ID-DAC), vs. outside irrigation-district jurisdiction (General DAC, GDC) -- i.e. legal/institutional membership in an irrigation district under California's Sustainable Groundwater Management Act (SGMA) framework and >150 years of California water-rights law.","DAC census places located outside irrigation-district jurisdiction (GDC, n=56).",percentage_comparison_with_p_value (unadjusted group comparison),"Poor drinking-water exposure (CalEnviroScreen 4.0 indicator): 83% (ID-DAC, n=97) vs 79% (GDC, n=56), p=0.1363; overall DAC vulnerability 83% vs 81%, p=0.3147; median household income $34,276 vs $36,450, p=0.7893.",,,,153 (97 ID-DAC + 56 GDC census places),null (no statistically significant difference at conventional thresholds),unadjusted,OBSERVED,"extraction_database.csv S037; source Espinoza & Viers 2024, PLOS Water, Table 1. Null result recorded faithfully -- the paper's own quantitative test does not show a statistically significant effect of irrigation-district legal membership on household drinking-water outcomes, despite its qualitative/policy narrative emphasizing inequity.",FALSE,"ANALYSIS_PLAN.md S2 decision tree -- single study defining this exact exposure-comparator (irrigation-district legal membership); no other Family A study yet shares this operationalization of legal recognition, so pooling is not yet possible or meaningful (too few independent studies in this family, per PROJECT_SPEC.md S8 Family A guidance)."
S057,economic_access,A,Random offer of a targeted sanitation subsidy to households determined eligible via the Poverty Probability Index for Cambodia and a climate-vulnerability threshold (service/subsidy eligibility mechanism).,Eligible households not offered the subsidy / ineligible households in treatment areas (sales closing rate 6%).,"percentage_point_difference (randomized controlled trial, intent-to-treat)",Subsidy offer increased likelihood of climate-resilient latrine purchase by 32 percentage points; sales closing rate 38% (eligible/treatment) vs 6% (ineligible/treatment).,,,,clustered RCT; exact n not located in extracted text (see extraction_database.csv S057 note),positive (subsidy eligibility increases sanitation-product purchase),unadjusted (intent-to-treat comparison as reported in study highlights),OBSERVED,"extraction_database.csv S057; source Kozole et al. 2023, J. Water Sanitation & Hygiene for Development. Strongest causal design in the eligible corpus (clustered RCT) for a Family A eligibility mechanism.",FALSE,"ANALYSIS_PLAN.md S2 -- single RCT; no other Family A study shares this subsidy-eligibility operationalization or a convertible common estimand (percentage-point difference here vs. OR/RR elsewhere); too few independent, comparably-operationalized studies to pool."
S084,effective_access,A,"Household's slum-settlement legal notification status under the Maharashtra Slum Areas Act 1971 (notified vs. non-notified), following the 2014 Bombay High Court order in Pani Haq Samiti v. Brihan Mumbai Municipal Corporation.",Notified households (legally recognized settlements).,"% difference in log-transformed water quantity (LPCD), adjusted multivariate linear regression",Non-notified households used 37.3% fewer litres per capita per day than notified households (adjusted); 38.2% fewer unadjusted; 38.7% of the association mediated by infrastructure/accessibility/cost/reliability factors (GSEM path analysis).,-46.4%,-26.5%,,593,negative (non-notified/unrecognized status associated with lower water access),"adjusted (household size, income per capita, religion)",OBSERVED,"extraction_database.csv S084; source Lubeck-Schricker et al. 2023, Environment & Urbanization. Authors note cross-sectional design cannot establish causality (mechanism_certainty=1); notification status not randomly/quasi-experimentally assigned.",FALSE,"ANALYSIS_PLAN.md S2 -- single study for this legal-notification-status exposure-comparator; S085 shares the same Mumbai/Bombay High Court legal backdrop but tests a different exposure (bureaucratic assistance x political coordination, not notification status itself) and a different outcome (formalization, not LPCD), so the two are not poolable together without manufacturing comparability; too few independent studies sharing this exact operationalization to pool."
S085,primary_connection,B,"Random assignment to bureaucratic-assistance treatment (T1: help completing formalization application/paperwork) crossed with political-coordination treatment (T2), in a 2x2 factorial cluster-randomized field experiment on informal-settlement land formalization in Mumbai.",Control households receiving neither T1 nor T2 (usual/unassisted formalization procedure).,"marginal effect (percentage points), weighted least squares regression with T1xT2 interaction, block fixed effects, cluster-robust SE","In the eligible-lands sample, T1 (bureaucratic assistance) increased full formalization by 19 percentage points (~45% of control mean) when combined with T2 (political coordination); T1xT2 interaction coefficient .22 (eligible-lands sample); full-sample interaction .11 (not significant). T1 alone raised application submission/inspection-visit likelihood but not full formalization; T2 alone had no significant average effect.",,,".10 (T1xT2 interaction, eligible-lands sample, Table 1 col. 4)",5251 (eligible-lands sample); 6652 (full sample),"positive (bureaucratic assistance increases formalization, conditional on political coordination)",unadjusted (main specification; no covariates beyond block fixed effects),OBSERVED,"extraction_database.csv S085; source Gaikwad & Thomas 2026, AJPS. Extraction note explicitly identifies this as ""a clean empirical match to PROJECT_SPEC.md S8 candidate meta-analytic Family B,"" but flags that the bureaucratic-assistance effect operates only jointly with political coordination -- a genuine complication for treating Family B as a simple main effect. Strongest-design study in the extraction set (cluster-randomized field experiment).",FALSE,"ANALYSIS_PLAN.md S2 -- single study for Family B; PROJECT_SPEC.md S8 itself flags Family B's study count may be too small to pool (""use structured quantitative synthesis if so""); no second study with a comparable bureaucratic-assistance-vs-usual-procedure contrast yet in the corpus."
S104,effective_access,A,"Household home-ownership / tenure status (owner vs. non-owner) in a multilevel household-neighbourhood-provider model of piped-water intermittency, alongside provider-level institutional capacity (utility GDP per capita) as a covariate.",Non-owner households (renters/other tenure).,"multilevel logistic regression, adjusted odds ratio (OR)","Home ownership associated with higher odds of reporting water-supply interruption (OR=1.31, p<0.01), controlling for provider and other household/neighbourhood covariates; overall 47% (95% CI 45-49%) of piped households reported >=1 full day of unavailability in the prior fortnight, ranging 18-76% across providers.",,,,3047,"positive (home ownership associated with higher odds of interruption -- direction counter to a simple ""tenure security improves access"" hypothesis)","adjusted (multilevel model controlling for provider, ethnicity proxy, season, neighbourhood wealth, neighbour-tap use, utility GDP per capita)",OBSERVED,"extraction_database.csv S104; source Thomas-Possee et al. 2024, PLOS Water. Flagged with caution: this is a multivariable risk-factor study without one single hypothesis-driven exposure -- home ownership is extracted here as the closest tenure/property-status exposure to Family A's ""formal vs. informal tenure"" definition, but the study's own framing treats it as one covariate among several, not a dedicated legal-recognition test. Do not treat as a like-for-like replication of S084/S085's notification-status exposure.",FALSE,"ANALYSIS_PLAN.md S2 -- exposure only loosely comparable to other Family A studies' tenure/recognition definitions (see provenance_note caveat); direction of effect also runs counter to S084's notified-status finding, so pooling would risk manufacturing comparability across non-equivalent exposures per PROJECT_SPEC.md S8's core rule."
S142,primary_connection,A,"Municipal incorporation status (incorporated vs. unincorporated), which functions as the legal/jurisdictional eligibility gateway to centralized municipal water/wastewater service extension in the U.S.",Incorporated census block groups.,"negative binomial regression, incidence rate ratio","Unincorporated status and poverty rate are significantly associated with reduced centralized water/wastewater infrastructure access; sewer coverage rates significantly lower for unincorporated communities near municipal boundaries, consistent with municipal underbounding excluding these areas from service-area expansion.",,,,"31383 (Census block groups, nine states)",negative (unincorporated/unrecognized jurisdictional status associated with reduced service access),"adjusted (multivariate negative binomial regression controlling for poverty rate, proximity to municipal boundary, regional/state indicators)",OBSERVED,"extraction_database.csv S142; source Allaire et al. 2024, npj Clean Water. Large-N administrative dataset; observational/cross-sectional, not quasi-experimental (mechanism_certainty=2).",FALSE,"ANALYSIS_PLAN.md S2 -- exact incidence-rate-ratio effect size not reported in extracted abstract text (association described narratively, not as a single numeric IRR/CI); cannot be converted to a common estimand with S037/S084/S057's percentage/OR-based effects without re-extracting the full IRR table from the source PDF -- deferred rather than approximated, per PROJECT_SPEC.md S14 never-fabricate rule."
S149,effective_access,,"Women's meaningful participation in Village Water and Sanitation Committees (VWSC) governance (participation vs. non-participation), propensity-score-matched.",Non-participating households/women (PSM-matched comparison group).,propensity score matching (PSM)-estimated average treatment effect,"VWSC participation improved toilet functionality by 24.8%, reduced water-collection time by 31.4 minutes, and lowered illness incidence by 12.7% (PSM-estimated); distance to water source was the strongest predictor of time burden (beta=0.62, p<0.001).",,,,400 households,positive (participation improves access-related outcomes),adjusted (PSM-estimated causal effects),OBSERVED,"extraction_database.csv S149; source Sethy & Sahoo 2026, Discover Public Health. Participation in local water-governance committees is a citizen-side accommodation/participation mechanism, distinct from Family B's provider-side ""bureaucratic assistance"" (which describes officials helping applicants navigate procedure, not citizens participating in local governance bodies) -- does not cleanly match Family A, B, or C's exposure definitions as written in PROJECT_SPEC.md S8.",FALSE,"ANALYSIS_PLAN.md S2 -- exposure (community-governance participation) does not match any of the three existing synthesis families' definitions; recorded here as a pooling-candidate flag rather than assigned a family, per DATA_DICTIONARY.md's allowance for ""a newly identified family"" -- no new family has been formally defined in 05_analysis/meta_analysis/ yet, so this single study does not justify creating one."
S174,primary_connection,C,"Municipal institutional capacity (financial, technical, political, and operational capacity, derived via exploratory factor analysis) -- weaker capacity treated as a proxy for administrative/implementation barriers to sanitation universalization.",Municipalities with higher institutional-capacity factor scores.,multiple linear regression with robust correction (following exploratory factor analysis),"Institutional capacity exerts a statistically significant influence on indicators of access to water supply, sanitary sewage, and solid-waste collection; smaller municipalities with weaker institutional capacity show more pronounced access/universalization difficulties.",,,,national sample of Brazilian municipalities (exact n not located in extracted abstract text),positive (higher institutional capacity associated with better sanitation-access indicators),adjusted (multiple linear regression with robust correction),OBSERVED,"extraction_database.csv S174; source de Araujo, Ferreira & da Rocha, ""Capacidades institucionais para a universalizacao do acesso ao saneamento basico."" Ecological/municipality-level analysis; institutional-capacity-as-barrier-proxy is a looser reading of Family C's ""administrative barriers"" exposure than a directly measured barrier (e.g. a documentation requirement or eligibility restriction) -- flagged as an approximate rather than exact fit.",FALSE,"ANALYSIS_PLAN.md S2 -- single study; exact regression coefficient/CI not located in extracted abstract text (association reported narratively), so no numeric effect size is available to pool even in principle; PROJECT_SPEC.md S8 itself flags Family C as ""conceptually attractive but potentially too heterogeneous -- treat as secondary synthesis unless evidence is unusually consistent,"" and a single ecological study does not meet that bar."
S178,effective_access,,"Presence/intensity of Water Safety Plan (WSP) water-quality regulatory programming (an enforcement/regulatory mechanism), compared across repeated cross-sectional survey waves (2016 vs. 2017) in southern Syria.","Survey wave/area without WSP programming in place (pre-WSP baseline, 2016).","mixed-effect logistic regression, adjusted odds ratio (mOR)","Free chlorine residual (FCR) >0.1 mg/L increased from 4.1% to 27.9% (2016-2017), strongly associated with WSP programming (mOR 24.16, 95% CI 5.93-98.5); piped water as main source declined 22.0% to 15.3%; childhood diarrhea prevalence declined 32.8% to 20.4%.",5.93,98.5,,1281 (2016) + 1360 (2017) household surveys,positive (WSP regulatory programming associated with improved water-quality outcome),adjusted (mixed-effect logistic regression),OBSERVED,"extraction_database.csv S178; source Sikder et al. 2018, Conflict and Health. Outcome measured is water quality (chlorine residual) and diarrhea prevalence, not a formal-connection/access-quantity outcome as defined for Families A-C in PROJECT_SPEC.md S8; recorded as a pooling-candidate flag rather than forced into an existing family.",FALSE,ANALYSIS_PLAN.md S2 -- outcome (water-quality regulatory compliance in a humanitarian/conflict setting) is not comparable to the formal-connection/access outcomes used elsewhere in Families A-C; population/context (protracted-conflict Syria) also not comparable to the largely non-conflict settings of the other candidate studies -- pooling would manufacture comparability that does not exist.
S294,effective_access,B,"Random assignment to a community-driven WASH intervention with an institutional-strengthening component (formation/training of community WASH committees), cluster-randomized at the village level in rural DRC.",Control villages (no intervention).,"intention-to-treat analysis, cluster-randomized controlled trial, adjusted mean differences","No effect on diarrhea (adjusted mean difference -0.01, 95% CI -0.05 to 0.03) or length-for-age Z-score (adjusted mean difference -0.01, 95% CI -0.15 to 0.12); intervention villages scored 0.40 points higher (95% CI 0.16-0.65) on an index of community WASH institutions.",-0.05 (diarrhea); -0.15 (LAZ); 0.16 (WASH-institutions index),0.03 (diarrhea); 0.12 (LAZ); 0.65 (WASH-institutions index),,121 clusters; 332 villages; 3283 households,null (health outcomes); positive (institutional-strengthening outcome),"adjusted (intention-to-treat, cluster-randomized)",OBSERVED,"extraction_database.csv S294; source Quattrochi et al. 2025, PLOS Medicine. Institutional-strengthening component (WASH-institutions index result) is the Family-B-relevant finding; health outcomes (diarrhea, LAZ) are null and belong to a different estimand (health, not access/formalization) -- recorded together here for completeness but should not be pooled together even within this single study's own results, per PROJECT_SPEC.md S8's caution against mixing estimands.",FALSE,"ANALYSIS_PLAN.md S2 -- single cluster-RCT; no other Family B study yet measures a comparable ""community WASH institutions index"" outcome (S085 measures individual land-formalization instead), so the two are not poolable together without manufacturing comparability across different outcome constructs."
