dropped_record_id,kept_record_id,match_rule,dropped_title,kept_title
R9E24EC349D72,R9E24EC349D72,doi_match,Getting on the grid: A field experiment on bottom-up political pressure and access to essential public services,Getting on the grid: A field experiment on bottom-up political pressure and access to essential public services
R2C41FB775CF6,R2C41FB775CF6,doi_match+abstract_backfilled,Delineating spatiotemporal variations of coastal ecosystem service value from the ‘past-current-future’ perspective,Delineating spatiotemporal variations of coastal ecosystem service value from the ‘past-current-future’ perspective
R0912E3546254,R0912E3546254,doi_match+abstract_backfilled,Water Utilities Capacity and Governance: Insights into Sustainable Service Improvement,Water Utilities Capacity and Governance: Insights into Sustainable Service Improvement
R902D3F2A2770,R902D3F2A2770,doi_match+abstract_backfilled,Circular economy and nature-based solutions for WASH resilience in Bangladesh’s Hill tracts,Circular economy and nature-based solutions for WASH resilience in Bangladesh’s Hill tracts
R700199742CC6,R700199742CC6,doi_match+abstract_backfilled,"Fecal sludge management system approach for establishing policy framework in urban areas of Vientiane Capital, Lao PDR","Fecal sludge management system approach for establishing policy framework in urban areas of Vientiane Capital, Lao PDR"
R17A68C2E34F6,R17A68C2E34F6,doi_match+abstract_backfilled,"Tracking viral variants by wastewater surveillance, from laboratory diagnosis towards on-site monitoring: lessons learned from the SARS-CoV-2 pandemic","Tracking viral variants by wastewater surveillance, from laboratory diagnosis towards on-site monitoring: lessons learned from the SARS-CoV-2 pandemic"
R24152A8965A7,R24152A8965A7,doi_match+abstract_backfilled,Watershed Water Supply Security Reliability Assessment and Risk Node Identification in Mountain Piedmont Transition Zones Under Extreme Drought Stress: A Case Study from the Feng River Basin,Watershed Water Supply Security Reliability Assessment and Risk Node Identification in Mountain Piedmont Transition Zones Under Extreme Drought Stress: A Case Study from the Feng River Basin
RCF41C3EE87F4,RCF41C3EE87F4,doi_match+abstract_backfilled,Barriers to accessing newer antibiotics in countries with high burden of bacterial antimicrobial resistant infections—a qualitative study,Barriers to accessing newer antibiotics in countries with high burden of bacterial antimicrobial resistant infections—a qualitative study
RC97D05CD240E,RC97D05CD240E,doi_match+abstract_backfilled,Barriers and facilitators to the utilisation of point-of-use water treatment systems during and immediately following flood-related disasters: a scoping review protocol,Barriers and facilitators to the utilisation of point-of-use water treatment systems during and immediately following flood-related disasters: a scoping review protocol
R119AB4B8C208,R119AB4B8C208,doi_match+abstract_backfilled,Governing antibiotic resistance through One Health: Insights from the political and legal landscape in Senegal,Governing antibiotic resistance through One Health: Insights from the political and legal landscape in Senegal
R89F918D912D8,R89F918D912D8,doi_match+abstract_backfilled,Industrial Symbiosis as a Carbon-Centered Operational Strategy: Evidence from Thailand’s Eastern Economic Corridor,Industrial Symbiosis as a Carbon-Centered Operational Strategy: Evidence from Thailand’s Eastern Economic Corridor
RB69FC6471B5E,RB69FC6471B5E,doi_match+abstract_backfilled,Ensemble LSTM models for short-term early warning of nitrous oxide emissions: A case study of a full-scale wastewater treatment plant in Copenhagen,Ensemble LSTM models for short-term early warning of nitrous oxide emissions: A case study of a full-scale wastewater treatment plant in Copenhagen
R8D6E9518873E,R8D6E9518873E,doi_match+abstract_backfilled,Changes in access to basic needs among people experiencing unsheltered homelessness in Los Angeles County during and after the COVID-19 pandemic: a large-scale repeated cross-sectional survey,Changes in access to basic needs among people experiencing unsheltered homelessness in Los Angeles County during and after the COVID-19 pandemic: a large-scale repeated cross-sectional survey
